ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml	Brown_observed	Fisher_observed	Brown_Scale_C_observed	Brown_DF_observed
mirna_mat::mirbase_mature::hsa-miR-1236-5p::MIMAT0022945	1	0.998624726163608	1	NA	0.999988824094823	0.999999999566025	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1237-3p::MIMAT0005592	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1237-5p::MIMAT0022946	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1238-3p::MIMAT0005593	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1238-5p::MIMAT0022947	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-124-3p::MIMAT0000422	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-124-3p::MIMAT0000422_1	0.0487570178594783	0.0686090069001412	0.168487578817706	0.73208	0.0868314787447377	0.0487040210489824	1.68599821775362	4.74496349744602
mirna_mat::mirbase_mature::hsa-miR-124-3p::MIMAT0000422_2	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-124-5p::MIMAT0004591	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-124-5p::MIMAT0004591_1	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-124-5p::MIMAT0004591_2	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
